model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,exp1,RANDOM-4K,789,combined,1455,2.08,23.29,20.75,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,789,structured,455,2.2,28.6,24.89,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,789,tatoeba,1000,2.01,21.88,19.64,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,combined,1455,23.62,38.4,37.06,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,structured,455,90.0,94.48,94.17,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,tatoeba,1000,2.69,23.7,21.33,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,combined,1455,23.73,38.01,36.84,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,structured,455,89.23,94.14,93.66,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,tatoeba,1000,2.77,23.17,21.08,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,combined,1455,23.52,37.91,36.54,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
