experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
baselines,STRUCT4K-VOCAB2K,42,facebook/nllb-200-distilled-600M,4735,38.8256594883007,50.68825744521115,49.335202974053786,62.81927710843374,4370.852696895599,,1455
baselines,STRUCT4K-VOCAB2K,456,facebook/nllb-200-distilled-600M,4735,35.47643385902871,49.33897921835984,48.012288653603335,66.8433734939759,4078.63068819046,,1455
baselines,STRUCT4K-VOCAB2K,789,facebook/nllb-200-distilled-600M,4735,34.65781693842448,47.05721780648361,45.64735578796502,67.55421686746988,3670.8803164958954,,1455
baselines,TF-IDF-DIVERSE,123,facebook/nllb-200-distilled-600M,1800,19.63346477034155,36.39229657969053,34.115473935912775,88.08433734939759,3568.7374958992004,,1455
baselines,TF-IDF-DIVERSE,2024,facebook/nllb-200-distilled-600M,1800,19.501793790300017,36.31469102756486,34.06269505570017,88.57831325301206,3825.3764033317566,,1455
baselines,TF-IDF-DIVERSE,42,facebook/nllb-200-distilled-600M,1800,17.411119146789122,35.80164292736458,33.341688663566,91.45783132530121,3111.831195831299,,1455
baselines,TF-IDF-DIVERSE,456,facebook/nllb-200-distilled-600M,1800,18.725132197351293,37.23030873538909,34.80649313058058,88.90361445783132,4538.620471954346,,1455
baselines,TF-IDF-DIVERSE,789,facebook/nllb-200-distilled-600M,1800,20.244945506774783,37.176770091214266,34.81047597248506,84.78313253012048,4665.803338050842,,1455
baselines,VOCAB-MAXIMIZED,123,facebook/nllb-200-distilled-600M,1800,24.752574908256044,39.97568225422475,37.612484276412275,79.80722891566265,5185.695684432983,,1455
baselines,VOCAB-MAXIMIZED,2024,facebook/nllb-200-distilled-600M,1800,24.576545779370903,40.707254148568005,38.31095673259432,80.13253012048193,5292.184719800949,,1455
baselines,VOCAB-MAXIMIZED,42,facebook/nllb-200-distilled-600M,1800,23.086580502681315,40.7285461503751,38.15235916817954,84.3855421686747,5318.041527509689,,1455
baselines,VOCAB-MAXIMIZED,456,facebook/nllb-200-distilled-600M,1800,23.321748309801904,39.9947815672914,37.64563307880488,84.0,4139.124235630035,,1455
baselines,VOCAB-MAXIMIZED,789,facebook/nllb-200-distilled-600M,1800,24.200718492896158,40.64306271070985,38.18423813044143,82.3132530120482,5244.951310634613,,1455
exp1,RANDOM-10K,123,facebook/nllb-200-distilled-600M,7200,4.257553175304907,30.82484204788457,27.563158921856584,94.73493975903614,5870.058166265488,,1455
exp1,RANDOM-10K,2024,facebook/nllb-200-distilled-600M,7200,3.9928520385466575,30.814485641086257,27.569146744983737,97.95180722891567,6999.852036476135,,1455
exp1,RANDOM-10K,42,facebook/nllb-200-distilled-600M,7200,4.16746626300375,30.485661074861525,27.236912751535748,98.0722891566265,6145.4026658535,,1455
exp1,RANDOM-10K,456,facebook/nllb-200-distilled-600M,7200,4.221525881591701,31.3929598151655,27.95248826343383,93.5421686746988,5419.856974363327,,1455
exp1,RANDOM-10K,789,facebook/nllb-200-distilled-600M,7200,3.9881988650395708,30.510094730919253,27.46343703161812,103.28915662650601,5192.854105949402,,1455
exp1,RANDOM-10K_STRUCTURED-4K,123,facebook/nllb-200-distilled-600M,10316,23.95492776637283,41.99031817148706,39.97537819192393,75.69879518072288,5250.1081330776215,,1455
exp1,RANDOM-10K_STRUCTURED-4K,2024,facebook/nllb-200-distilled-600M,10316,24.061824900017918,41.86738204679949,39.73626659143688,73.71084337349397,5365.51301240921,,1455
exp1,RANDOM-10K_STRUCTURED-4K,42,facebook/nllb-200-distilled-600M,10316,22.865835977317246,41.54740282780508,39.67624220951548,77.04819277108433,3612.206043481827,,1455
exp1,RANDOM-10K_STRUCTURED-4K,456,facebook/nllb-200-distilled-600M,10316,22.219692626498944,42.008271507079,40.16853573711127,78.33734939759036,3858.747292995453,,1455
exp1,RANDOM-10K_STRUCTURED-4K,789,facebook/nllb-200-distilled-600M,10316,19.158919703654067,38.449659834147994,36.717820882449544,86.6867469879518,3031.16672205925,,1455
exp1,RANDOM-4K,123,facebook/nllb-200-distilled-600M,3600,4.074260074080032,29.210858683013623,26.139336878312253,97.14457831325302,6253.381870746613,,1455
